PON: 0/1/1:62 | Nama: NA | MAC: 44:22:95:37:dc:30 | Data: 0/1/1:62,NA,44:22:95:37:dc:30,Down,NA,NA,NA,NA,NA,NA,NA,0,420
PON: 0/1/1:63 | Nama: NA | MAC: fc:8e:5b:f8:ab:e8 | Data: 0/1/1:63,NA,fc:8e:5b:f8:ab:e8,Down,NA,NA,NA,NA,NA,NA,NA,0,102
PON: 0/1/1:64 | Nama: NA | MAC: fc:f2:9f:c3:35:08 | Data: 0/1/1:64,NA,fc:f2:9f:c3:35:08,Down,NA,NA,NA,NA,NA,NA,NA,0,176
PON: 0/1/1:65 | Nama: NA | MAC: d4:7e:e4:7b:7e:a8 | Data: 0/1/1:65,NA,d4:7e:e4:7b:7e:a8,Down,NA,NA,NA,NA,NA,NA,NA,0,106
PON: 0/1/1:66 | Nama: NA | MAC: fc:f2:9f:c1:57:80 | Data: 0/1/1:66,NA,fc:f2:9f:c1:57:80,Down,NA,NA,NA,NA,NA,NA,NA,0,138
PON: 0/1/1:67 | Nama: NA | MAC: 68:8b:0f:07:cd:08 | Data: 0/1/1:67,NA,68:8b:0f:07:cd:08,Down,NA,NA,NA,NA,NA,NA,NA,0,137
PON: 0/1/1:68 | Nama: NA | MAC: d4:7e:e4:79:9a:48 | Data: 0/1/1:68,NA,d4:7e:e4:79:9a:48,Down,NA,NA,NA,NA,NA,NA,NA,0,116
PON: 0/1/1:69 | Nama: NA | MAC: fc:f2:9f:e1:c3:50 | Data: 0/1/1:69,NA,fc:f2:9f:e1:c3:50,Down,NA,NA,NA,NA,NA,NA,NA,0,102
PON: 0/1/1:70 | Nama: NA | MAC: e8:81:75:a3:fb:95 | Data: 0/1/1:70,NA,e8:81:75:a3:fb:95,Up,NA,NA,NA,NA,NA,NA,NA,-13.49,435
PON: 0/1/1:71 | Nama: NA | MAC: e4:47:b3:ac:70:ea | Data: 0/1/1:71,NA,e4:47:b3:ac:70:ea,Up,NA,NA,NA,NA,NA,NA,NA,-18.27,552
PON: 0/1/1:72 | Nama: NA | MAC: 38:e1:aa:68:ff:a5 | Data: 0/1/1:72,NA,38:e1:aa:68:ff:a5,Up,NA,NA,NA,NA,NA,NA,NA,-14.75,382
PON: 0/1/1:73 | Nama: NA | MAC: fc:40:09:2c:a7:ef | Data: 0/1/1:73,NA,fc:40:09:2c:a7:ef,Up,NA,NA,NA,NA,NA,NA,NA,-14.99,488
