PON: 0/1/2:25 | Nama: NA | MAC: 14:ad:ca:8f:db:a6 | Data: 0/1/2:25,NA,14:ad:ca:8f:db:a6,Up,NA,NA,NA,NA,NA,NA,NA,-26.02,344
PON: 0/1/2:26 | Nama: NA | MAC: d4:7e:e4:fa:16:58 | Data: 0/1/2:26,NA,d4:7e:e4:fa:16:58,Up,NA,NA,NA,NA,NA,NA,NA,-18.89,398
PON: 0/1/2:27 | Nama: NA | MAC: 94:bf:80:77:d9:b7 | Data: 0/1/2:27,NA,94:bf:80:77:d9:b7,Up,NA,NA,NA,NA,NA,NA,NA,-20.13,344
PON: 0/1/2:28 | Nama: NA | MAC: 1c:78:4e:00:17:18 | Data: 0/1/2:28,NA,1c:78:4e:00:17:18,Up,NA,NA,NA,NA,NA,NA,NA,-18.12,179
PON: 0/1/2:29 | Nama: NA | MAC: 14:ad:ca:fa:75:18 | Data: 0/1/2:29,NA,14:ad:ca:fa:75:18,Down,NA,NA,NA,NA,NA,NA,NA,0,424
PON: 0/1/2:30 | Nama: NA | MAC: b0:30:55:70:40:80 | Data: 0/1/2:30,NA,b0:30:55:70:40:80,Up,NA,NA,NA,NA,NA,NA,NA,-19.59,243
PON: 0/1/2:31 | Nama: NA | MAC: 44:22:95:37:dc:30 | Data: 0/1/2:31,NA,44:22:95:37:dc:30,Up,NA,NA,NA,NA,NA,NA,NA,-23.87,420
PON: 0/1/2:32 | Nama: NA | MAC: 74:b5:7e:3a:ec:9f | Data: 0/1/2:32,NA,74:b5:7e:3a:ec:9f,Up,NA,NA,NA,NA,NA,NA,NA,-23.28,312
PON: 0/1/2:33 | Nama: NA | MAC: e8:a1:f8:0c:e9:26 | Data: 0/1/2:33,NA,e8:a1:f8:0c:e9:26,Up,NA,NA,NA,NA,NA,NA,NA,-24.09,420
PON: 0/1/2:34 | Nama: NA | MAC: a0:9b:12:50:68:a8 | Data: 0/1/2:34,NA,a0:9b:12:50:68:a8,Up,NA,NA,NA,NA,NA,NA,NA,-21.94,399
PON: 0/1/2:35 | Nama: NA | MAC: 48:fd:8e:0a:0e:e0 | Data: 0/1/2:35,NA,48:fd:8e:0a:0e:e0,Up,NA,NA,NA,NA,NA,NA,NA,-25.38,105
PON: 0/1/2:36 | Nama: NA | MAC: 18:69:da:fc:35:18 | Data: 0/1/2:36,NA,18:69:da:fc:35:18,Up,NA,NA,NA,NA,NA,NA,NA,-17.99,330
PON: 0/1/2:37 | Nama: NA | MAC: 48:8e:ef:84:79:b4 | Data: 0/1/2:37,NA,48:8e:ef:84:79:b4,Up,NA,NA,NA,NA,NA,NA,NA,-24.95,230
PON: 0/1/2:38 | Nama: NA | MAC: 2c:33:41:34:7f:c6 | Data: 0/1/2:38,NA,2c:33:41:34:7f:c6,Down,NA,NA,NA,NA,NA,NA,NA,0,245
PON: 0/1/2:39 | Nama: NA | MAC: d4:7e:e4:ce:37:10 | Data: 0/1/2:39,NA,d4:7e:e4:ce:37:10,Up,NA,NA,NA,NA,NA,NA,NA,-21.37,342
PON: 0/1/2:40 | Nama: NA | MAC: ac:61:75:99:17:39 | Data: 0/1/2:40,NA,ac:61:75:99:17:39,Down,NA,NA,NA,NA,NA,NA,NA,0,89
PON: 0/1/2:41 | Nama: NA | MAC: 44:fb:5a:2a:80:13 | Data: 0/1/2:41,NA,44:fb:5a:2a:80:13,Down,NA,NA,NA,NA,NA,NA,NA,0,84
PON: 0/1/2:42 | Nama: NA | MAC: a0:09:2e:4e:26:75 | Data: 0/1/2:42,NA,a0:09:2e:4e:26:75,Down,NA,NA,NA,NA,NA,NA,NA,0,85
PON: 0/1/2:43 | Nama: NA | MAC: 50:55:8d:0b:8a:f0 | Data: 0/1/2:43,NA,50:55:8d:0b:8a:f0,Down,NA,NA,NA,NA,NA,NA,NA,0,84
PON: 0/1/2:44 | Nama: NA | MAC: fc:f2:9f:78:36:40 | Data: 0/1/2:44,NA,fc:f2:9f:78:36:40,Down,NA,NA,NA,NA,NA,NA,NA,0,85
PON: 0/1/2:45 | Nama: NA | MAC: ec:f0:fe:2d:e2:f7 | Data: 0/1/2:45,NA,ec:f0:fe:2d:e2:f7,Up,NA,NA,NA,NA,NA,NA,NA,-24.32,439
PON: 0/1/2:46 | Nama: NA | MAC: a0:9b:12:d4:8d:d8 | Data: 0/1/2:46,NA,a0:9b:12:d4:8d:d8,Down,NA,NA,NA,NA,NA,NA,NA,0,85
PON: 0/1/2:47 | Nama: NA | MAC: dc:71:37:5f:8c:d0 | Data: 0/1/2:47,NA,dc:71:37:5f:8c:d0,Down,NA,NA,NA,NA,NA,NA,NA,0,85
PON: 0/1/2:48 | Nama: NA | MAC: 1c:78:4e:d4:2f:40 | Data: 0/1/2:48,NA,1c:78:4e:d4:2f:40,Down,NA,NA,NA,NA,NA,NA,NA,0,84
PON: 0/1/2:49 | Nama: NA | MAC: 8c:8f:8b:51:b1:5f | Data: 0/1/2:49,NA,8c:8f:8b:51:b1:5f,Down,NA,NA,NA,NA,NA,NA,NA,0,86
PON: 0/1/2:50 | Nama: NA | MAC: 1c:78:4e:cc:9c:70 | Data: 0/1/2:50,NA,1c:78:4e:cc:9c:70,Down,NA,NA,NA,NA,NA,NA,NA,0,84
PON: 0/1/2:51 | Nama: NA | MAC: 68:8b:0f:04:8e:c8 | Data: 0/1/2:51,NA,68:8b:0f:04:8e:c8,Down,NA,NA,NA,NA,NA,NA,NA,0,84
PON: 0/1/2:52 | Nama: NA | MAC: 44:22:95:3b:b8:98 | Data: 0/1/2:52,NA,44:22:95:3b:b8:98,Down,NA,NA,NA,NA,NA,NA,NA,0,85
PON: 0/1/2:53 | Nama: NA | MAC: fc:f2:9f:fc:a7:48 | Data: 0/1/2:53,NA,fc:f2:9f:fc:a7:48,Down,NA,NA,NA,NA,NA,NA,NA,0,84
PON: 0/1/2:54 | Nama: NA | MAC: 84:1c:70:5a:59:6c | Data: 0/1/2:54,NA,84:1c:70:5a:59:6c,Down,NA,NA,NA,NA,NA,NA,NA,0,84
PON: 0/1/2:55 | Nama: NA | MAC: 2c:ab:00:42:7a:2d | Data: 0/1/2:55,NA,2c:ab:00:42:7a:2d,Down,NA,NA,NA,NA,NA,NA,NA,0,85
PON: 0/1/2:56 | Nama: NA | MAC: 60:2e:20:0e:37:2f | Data: 0/1/2:56,NA,60:2e:20:0e:37:2f,Down,NA,NA,NA,NA,NA,NA,NA,0,86
PON: 0/1/2:57 | Nama: NA | MAC: fc:f2:9f:3d:50:70 | Data: 0/1/2:57,NA,fc:f2:9f:3d:50:70,Down,NA,NA,NA,NA,NA,NA,NA,0,85
