PON: 1/2/2:11 | Nama: NA | MAC: NA | Data: 1/2/2:11,NA,NA,Down,ZTE-F601,ZTEGCC68B414,NA,NA,NA,NA,NA,0,6.289
PON: 1/2/2:12 | Nama: NA | MAC: NA | Data: 1/2/2:12,NA,NA,Down,ZTE-F601,CIOT16AEADF0,NA,NA,NA,NA,NA,0,6.282
PON: 1/2/2:14 | Nama: NA | MAC: 44:13:d0:2f:88:56 | Data: 1/2/2:14,NA,44:13:d0:2f:88:56,Up,ZTE-F601,ZTEGCB92384B,NA,NA,NA,NA,NA,-15.187,6.282
PON: 1/2/2:15 | Nama: NA | MAC: NA | Data: 1/2/2:15,NA,NA,Down,ZTE-F601,ZTEGCC52464B,NA,NA,NA,NA,NA,0,6.289
PON: 1/2/2:16 | Nama: NA | MAC: 38:e2:dd:8a:75:10 | Data: 1/2/2:16,NA,38:e2:dd:8a:75:10,Up,ZTE-F601,ZTEGC994C782,NA,NA,NA,NA,NA,-15.161,6.289
PON: 1/2/2:17 | Nama: NA | MAC: 48:a7:4e:2f:9c:18 | Data: 1/2/2:17,NA,48:a7:4e:2f:9c:18,Up,ZTE-F601,ZTEGC77C0044,NA,NA,NA,NA,NA,-14.183,6.289
PON: 1/2/2:18 | Nama: NA | MAC: d4:76:ea:13:e3:34 | Data: 1/2/2:18,NA,d4:76:ea:13:e3:34,Up,ZTE-F601,ZTEGCA93DC7D,NA,NA,NA,NA,NA,-16.967,6.282
PON: 1/2/2:19 | Nama: NA | MAC: NA | Data: 1/2/2:19,NA,NA,Down,ZTE-F601,ZTEGC73DF895,NA,NA,NA,NA,NA,0,6.282
PON: 1/2/2:20 | Nama: NA | MAC: NA | Data: 1/2/2:20,NA,NA,Down,ZTE-F601,GGCLCD017B98,NA,NA,NA,NA,NA,0,6.289
PON: 1/2/2:21 | Nama: NA | MAC: NA | Data: 1/2/2:21,NA,NA,Down,ZTE-F601,ZTEGC5994375,NA,NA,NA,NA,NA,0,6.282
PON: 1/2/2:22 | Nama: NA | MAC: 44:13:d0:51:87:66 | Data: 1/2/2:22,NA,44:13:d0:51:87:66,Up,ZTE-F601,ZTEGCB976726,NA,NA,NA,NA,NA,-20.619,6.289
PON: 1/2/2:23 | Nama: NA | MAC: NA | Data: 1/2/2:23,NA,NA,Down,ZTE-F601,CIOT16787448,NA,NA,NA,NA,NA,0,6.289
PON: 1/2/2:24 | Nama: NA | MAC: NA | Data: 1/2/2:24,NA,NA,Down,ZTE-F601,CIOT14219C80,NA,NA,NA,NA,NA,0,6.282
PON: 1/2/2:25 | Nama: NA | MAC: d4:76:ea:3b:eb:76 | Data: 1/2/2:25,NA,d4:76:ea:3b:eb:76,Up,ZTE-F601,ZTEGCA9CBABF,NA,NA,NA,NA,NA,-18.068,6.282
PON: 1/2/2:26 | Nama: NA | MAC: NA | Data: 1/2/2:26,NA,NA,Down,ZTE-F601,ZTEGCA9FB5DF,NA,NA,NA,NA,NA,0,6.289
PON: 1/2/2:27 | Nama: NA | MAC: NA | Data: 1/2/2:27,NA,NA,Down,ZTE-F601,GGCLC7E54C30,NA,NA,NA,NA,NA,0,6.282
PON: 1/2/2:28 | Nama: NA | MAC: NA | Data: 1/2/2:28,NA,NA,Down,ZTE-F601,ZICGCAA15B14,NA,NA,NA,NA,NA,0,6.282
PON: 1/2/2:31 | Nama: NA | MAC: NA | Data: 1/2/2:31,NA,NA,Down,ZTE-F601,ZTEGC95C3A44,NA,NA,NA,NA,NA,0,6.289
PON: 1/2/2:32 | Nama: NA | MAC: NA | Data: 1/2/2:32,NA,NA,Down,ZTE-F601,ZTEGC99D26AA,NA,NA,NA,NA,NA,0,6.282
PON: 1/2/2:33 | Nama: NA | MAC: 30:99:35:21:4e:88 | Data: 1/2/2:33,NA,30:99:35:21:4e:88,Up,ZTE-F601,ZTEGC9A4A5BB,NA,NA,NA,NA,NA,-14.897,6.289
PON: 1/2/2:34 | Nama: NA | MAC: 0c:37:47:00:0d:38 | Data: 1/2/2:34,NA,0c:37:47:00:0d:38,Up,ZTE-F601,ZTEGC9C62684,NA,NA,NA,NA,NA,-25.023,6.282
PON: 1/2/2:35 | Nama: NA | MAC: 1c:27:04:df:10:0f | Data: 1/2/2:35,NA,1c:27:04:df:10:0f,Up,ZTE-F601,ZTEGCBBE2C0F,NA,NA,NA,NA,NA,-16.617,6.289
PON: 1/2/2:36 | Nama: NA | MAC: NA | Data: 1/2/2:36,NA,NA,Down,ZTE-F601,ZTEGCBDCF908,NA,NA,NA,NA,NA,0,6.289
PON: 1/2/2:37 | Nama: NA | MAC: NA | Data: 1/2/2:37,NA,NA,Down,ZTE-F601,CIOT16C39B90,NA,NA,NA,NA,NA,0,6.289
PON: 1/2/2:38 | Nama: NA | MAC: 1c:78:4e:21:e0:88 | Data: 1/2/2:38,NA,1c:78:4e:21:e0:88,Up,ZTE-F601,CIOT1421E088,NA,NA,NA,NA,NA,-15.720,6.282
PON: 1/2/2:39 | Nama: NA | MAC: NA | Data: 1/2/2:39,NA,NA,Down,ZTE-F601,CIOT21BD93A8,NA,NA,NA,NA,NA,0,6.282
PON: 1/2/2:40 | Nama: NA | MAC: 14:ad:ca:2b:ea:20 | Data: 1/2/2:40,NA,14:ad:ca:2b:ea:20,Up,ZTE-F601,CIOT122BEA20,NA,NA,NA,NA,NA,-15.991,6.289
PON: 1/2/2:41 | Nama: NA | MAC: NA | Data: 1/2/2:41,NA,NA,Down,ZTE-F601,ZTEGCC342CDE,NA,NA,NA,NA,NA,0,6.289
